Scientific_name;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Carcharhinus borneensis;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus macloti;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus altimus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus plumbeus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus leucas;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus brachyurus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus brevipinna;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus porosus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus obscurus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus galapagensis;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus longimanus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus perezii;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus sorrah;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus amboinensis;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus amblyrhynchos;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus falciformis;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus albimarginatus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus tilstoni;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus amblyrhynchoides;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus leiodon;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus limbatus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus melanopterus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus cautus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus fitzroyensis;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharhinus signatus;1.2;6.457230394;5.443715569;35.00;3.555348061
Carcharias taurus;NA;6.176371144;5.799092654;2.00;0.693147181
Carcharodon carcharias;108.5;NA;6.293419279;1.00;0
Cetorhinus maximus;52.1;8.399410156;6.802394763;1.00;0
Centrophorus harrissoni;NA;2.79143181;4.991792206;14.00;2.63905733
Centrophorus lusitanicus;NA;2.79143181;4.991792206;14.00;2.63905733
Centrophorus granulosus;NA;2.79143181;4.991792206;14.00;2.63905733
Centrophorus zeehaani;NA;2.79143181;4.991792206;14.00;2.63905733
Centrophorus atromarginatus;NA;2.79143181;4.991792206;14.00;2.63905733
Centrophorus moluccensis;NA;2.79143181;4.991792206;14.00;2.63905733
Centrophorus squamosus;NA;2.79143181;4.991792206;14.00;2.63905733
Centroscyllium granulatum;NA;NA;4.046553898;7.00;1.945910149
Centroscyllium nigrum;NA;NA;4.046553898;7.00;1.945910149
Centroscyllium fabricii;NA;NA;4.046553898;7.00;1.945910149
Centroscyllium ritteri;NA;NA;4.046553898;7.00;1.945910149
Centroscymnus coelolepis;NA;NA;4.736198448;5.00;1.609437912
Centroscymnus crepidater;NA;NA;4.736198448;5.00;1.609437912
Centroscymnus macracanthus;NA;NA;4.736198448;5.00;1.609437912
Centroscymnus owstonii;NA;NA;4.736198448;5.00;1.609437912
Centroscymnus plunketi;NA;NA;4.736198448;5.00;1.609437912
Centroselachus crepidater;NA;NA;4.65396035;1.00;0
Cephaloscyllium speccum;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium pictum;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium hiscosellum;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium albipinnum;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium sufflans;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium laticeps;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium variegatum;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium umbratile;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium silasi;240;NA;4.483341478;17.00;2.833213344
Cephaloscyllium ventriosum;240;NA;4.483341478;17.00;2.833213344
Chaenogaleus macrostoma;NA;NA;4.605170186;1.00;0
Carcharodon carcharias;NA;NA;6.293419279;1.00;0
Chiloscyllium indicum;NA;NA;4.396915247;8.00;2.079441542
Chiloscyllium plagiosum;NA;NA;4.396915247;8.00;2.079441542
Chiloscyllium punctatum;NA;NA;4.396915247;8.00;2.079441542
Chiloscyllium griseum;NA;NA;4.396915247;8.00;2.079441542
Chiloscyllium hasseltii;NA;NA;4.396915247;8.00;2.079441542
Chimaera panthera;NA;3.002152841;4.821893169;19.00;2.944438979
Chimaera lignaria;NA;3.002152841;4.821893169;19.00;2.944438979
Chimaera fulva;NA;3.002152841;4.821893169;19.00;2.944438979
Chimaera monstrosa;NA;3.002152841;4.821893169;19.00;2.944438979
Chimaera phantasma;NA;3.002152841;4.821893169;19.00;2.944438979
Chlamydoselachus anguineus;NA;NA;5.298317367;2.00;0.693147181
Cirrhigaleus barbifer;NA;NA;4.812184355;3.00;1.098612289
Cirrhigaleus asper;NA;NA;4.787491743;3.00;1.098612289
Cruriraja hulleyi;NA;NA;4.036008985;8.00;2.079441542
Cruriraja parcomaculata;NA;NA;4.036008985;8.00;2.079441542
Dalatias licha;NA;6.269886847;5.204006687;1.00;0
Dasyatis thetidis;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis centroura;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis brevicaudata;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis fluviorum;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis akajei;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis marmorata;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis longa;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis brevis;NA;5.936559267;5.537334267;12.00;2.48490665
Dasyatis microps;NA;5.936559267;5.537334267;12.00;2.48490665
Deania calcea;NA;NA;4.553876892;4.00;1.386294361
Deania hystricosa;NA;NA;4.553876892;4.00;1.386294361
Deania profundorum;NA;NA;4.553876892;4.00;1.386294361
Dipturus confusus;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus cerva;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus australis;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus gudgeri;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus canutus;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus innominatus;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus tengu;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus healdi;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus argentinensis;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus leptocauda;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus springeri;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus oxyrinchus;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus batis;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus nidarosiensis;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus laevis;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus campbelli;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus kwangtungensis;NA;6.140943165;4.811371017;41.00;3.713572067
Dipturus whitleyi;NA;6.140943165;4.811371017;41.00;3.713572067
Discopyge tschudii;NA;NA;3.985273467;2.00;0.693147181
Echinorhinus cookei;NA;NA;5.872117789;2.00;0.693147181
Echinorhinus brucus;NA;NA;5.872117789;2.00;0.693147181
Eridacnis barbouri;185.82;NA;4.465908119;3.00;1.098612289
Eridacnis radcliffei;185.82;NA;4.465908119;3.00;1.098612289
Eridacnis sinuans;185.82;NA;4.465908119;3.00;1.098612289
Etmopterus bigelowi;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus pusillus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus sentosus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus pseudosqualiolus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus fusus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus splendidus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus dislineatus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus molleri;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus lucifer;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus brachyurus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus spinax;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus princeps;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus viator;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus unicolor;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus dianthus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus granulosus;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus baxteri;NA;2.920952258;3.824284091;40.00;3.688879454
Etmopterus schultzi;NA;2.920952258;3.824284091;40.00;3.688879454
