Genero ;Genera_timediv;Log_body_size ;log_lengthsize;Species_richness;log_speciesrich
Pristiophorus ;NA;NA;4.644390899;7;1.945910149
Pristis ;NA;6.759089807;6.390240667;6;1.791759469
Proscyllium ;13.24;NA;4.007333185;3;1.098612289
Psammobatis ;NA;NA;3.891820298;8;2.079441542
Proscymnodon ;NA;NA;4.219507705;2;0.693147181
Pseudocarcharias ;10.7;NA;4.700480366;1;0
Pseudoginglymostoma;NA;NA;4.317488114;1;0
Pseudotriakis ;173;NA;5.59471138;1;0
Pteromylaeus ;NA;NA;4.369447852;1;0
Pteroplatytrygon ;NA;NA;5.093750201;1;0
Potamotrygon ;NA;6.925029158;3.897924081;30;3.401197382
Raja ;NA;5.577711194;4.58169683;29;3.36729583
Rajella ;NA;NA;4.223909767;18;2.890371758
Rhina ;NA;6.109247583;5.703782475;1;0
Rhinochimaera ;NA;NA;4.859812404;3;1.098612289
Rhincodon;NA;9.964112174;7.377758908;1;0
Rhinobatos ;NA;5.593173826;5.602118821;33;3.496507561
Rhynchobatus ;NA;5.593173826;5.602118821;33;3.496507561
Rhinobatus ;NA;5.593173826;5.602118821;33;3.496507561
Rhinobatos ;NA;5.593173826;5.602118821;33;3.496507561
Rhinoptera ;NA;3.521483548;4.890349128;8;2.079441542
Rhinoraja ;NA;NA;4.290459441;3;1.098612289
Rhynchobatus;NA;NA;5.347107531;8;2.079441542
Rhizoprionodon ;0.78;NA;4.743365685;7;1.945910149
Rioraja ;NA;NA;3.496507561;1;0
Rostroraja ;NA;NA;5.438079309;1;0
Schroederichthys ;118;NA;4.248495242;5;1.609437912
Scoliodon ;0.36;NA;4.404277244;2;0.693147181
Scyliorhinus ;246;NA;4.584967479;17;2.833213344
Scylliogaleus ;NA;NA;4.48863637;1;0
Scymnodon ;NA;NA;4.700480366;2;0.693147181
Sinobatis ;NA;NA;3.768152635;8;2.079441542
Somniosus ;NA;NA;6.081647971;5;1.609437912
Sphyrna ;2.7;NA;5.68744982;9;2.197224577
Spinaraja ;NA;NA;5.135798437;1;0
Squaliolus ;NA;NA;4.33073334;2;0.693147181
Squalus ;NA;NA;4.648229675;35;3.555348061
Squatina ;NA;NA;4.913683768;24;3.17805383
Stegostoma ;NA;NA;5.869296913;1;0
Sympterygia ;NA;NA;4.317488114;4;1.386294361
Sutorectus ;NA;NA;4.521788577;1;0
Taeniura ;NA;NA;5.521460918;4;1.386294361
Torpedo ;NA;NA;4.629862799;11;2.397895273
Triaenodon ;0.98;NA;5.361292166;1;0
Triakis ;3.73;NA;5.093750201;5;1.609437912
Trigonognathus ;NA;NA;3.850147602;1;0
Trygonoptera ;NA;NA;3.981175864;6;1.791759469
Trygonorrhina ;NA;NA;4.836281907;3;1.098612289
Typhlonarke ;NA;NA;3.63758616;2;0.693147181
Urogymnus ;NA;NA;4.727387819;7;1.945910149
Urobatis;NA;NA;4.122283931;7;1.945910149
Urolophus ;NA;NA;3.889777396;22;3.091042453
Urotrygon ;NA;NA;3.832979798;13;2.564949357
Zameus ;NA;NA;4.430816799;2;0.693147181
Zapteryx ;NA;NA;3.988984047;3;1.098612289
Zearaja;NA;NA;4.888844237;3;1.098612289
Zanobatus ;NA;NA;4.605170186;1;0
